Fecha,Hora,Temperatura,Humedad_relativa,Humedad_Suelo,ADT,Ks,ETr,Etiqueta
30/06/2021,21:00:00,20,73,7.98,172.229,1.04,18.77142857,No
30/06/2021,21:30:00,20,73,7.44,161.429,1.04,18.77142857,No
30/06/2021,22:00:00,20,73,10.8,228.629,1.04,18.77142857,No
30/06/2021,22:30:00,20,73,8.4,180.629,1.04,18.77142857,No
30/06/2021,23:00:00,20,73,10.37,220.029,1.04,18.77142857,No
30/06/2021,23:30:00,20,73,8.45,181.629,1.04,18.77142857,No
1/07/2021,00:00:00,20,73,8.54,183.429,1.04,20.85714286,No
1/07/2021,00:30:00,20,74,10.71,227.002,1.06,21.14285714,No
1/07/2021,01:00:00,20,74,7.56,164.002,1.06,21.14285714,No
1/07/2021,01:30:00,20,74,9.76,208.002,1.06,21.14285714,No
1/07/2021,02:00:00,20,74,8.06,174.002,1.06,21.14285714,No
1/07/2021,02:30:00,20,74,8.54,183.602,1.06,21.14285714,No
1/07/2021,03:00:00,20,74,10.8,228.802,1.06,21.14285714,No
1/07/2021,03:30:00,20,74,11.52,243.202,1.06,21.14285714,No
1/07/2021,04:00:00,20,74,8.32,179.202,1.06,21.14285714,No
1/07/2021,04:30:00,20,74,8.82,189.202,1.06,21.14285714,No
1/07/2021,05:00:00,20,74,6.96,152.002,1.06,21.14285714,No
1/07/2021,05:30:00,20,74,8.26,178.002,1.06,21.14285714,No
1/07/2021,06:00:00,20,74,10.8,228.802,1.06,21.14285714,No
1/07/2021,06:30:00,20,74,6.84,149.602,1.06,21.14285714,No
1/07/2021,07:00:00,20,74,7.98,172.402,1.06,21.14285714,No
1/07/2021,07:30:00,20,74,9.44,201.602,1.06,21.14285714,No
1/07/2021,08:00:00,20,74,8.26,178.002,1.06,21.14285714,No
1/07/2021,08:30:00,20,74,6.36,140.002,1.06,21.14285714,No
1/07/2021,09:00:00,20,74,9.28,198.402,1.06,21.14285714,No
1/07/2021,09:30:00,20,73,6.84,149.429,1.04,20.85714286,No
1/07/2021,10:00:00,20,74,7.82,169.202,1.06,21.14285714,No
1/07/2021,10:30:00,20,74,7.48,162.402,1.06,21.14285714,No
1/07/2021,11:00:00,20,74,7,152.802,1.06,21.14285714,No
1/07/2021,11:30:00,20,74,6.58,144.402,1.06,21.14285714,No
1/07/2021,12:00:00,20,74,9.18,196.402,1.06,21.14285714,No
1/07/2021,12:30:00,20,74,7.65,165.802,1.06,21.14285714,No
1/07/2021,13:00:00,20,74,7.35,159.802,1.06,21.14285714,No
1/07/2021,13:30:00,20,74,8.33,179.402,1.06,21.14285714,No
1/07/2021,14:00:00,20,74,7.5,162.802,1.06,21.14285714,No
1/07/2021,14:30:00,20,74,7.56,164.002,1.06,21.14285714,No
1/07/2021,15:00:00,20,74,7.28,158.402,1.06,21.14285714,No
1/07/2021,15:30:00,20,74,8.64,185.602,1.06,21.14285714,No
1/07/2021,16:00:00,20,74,8,172.802,1.06,21.14285714,No
1/07/2021,16:30:00,20,74,9.54,203.602,1.06,21.14285714,No
1/07/2021,17:00:00,20,74,7.84,169.602,1.06,21.14285714,No
1/07/2021,17:30:00,20,73,6.29,138.429,1.04,20.85714286,No
1/07/2021,18:00:00,20,74,5.32,119.202,1.06,21.14285714,No
1/07/2021,18:30:00,21,73,5.44,125.59,1.04,20.85714286,No
1/07/2021,19:00:00,21,73,5.44,125.59,1.04,20.85714286,No
1/07/2021,19:30:00,21,73,4.06,97.99,1.04,20.85714286,No
1/07/2021,20:00:00,21,73,5.4,124.79,1.04,20.85714286,No
1/07/2021,20:30:00,21,73,5.44,125.59,1.04,20.85714286,No
1/07/2021,21:00:00,21,73,5.1,118.79,1.04,20.85714286,No
1/07/2021,21:30:00,21,73,4.48,106.39,1.04,20.85714286,No
1/07/2021,22:00:00,21,73,5.78,132.39,1.04,20.85714286,No
1/07/2021,22:30:00,21,73,4.8,112.79,1.04,20.85714286,No
1/07/2021,23:00:00,21,73,5.04,117.59,1.04,20.85714286,No
1/07/2021,23:30:00,21,73,4.48,106.39,1.04,20.85714286,No
2/07/2021,00:00:00,21,73,6.12,139.19,1.04,20.85714286,No
2/07/2021,00:30:00,21,73,5.76,131.99,1.04,20.85714286,No
2/07/2021,01:00:00,21,73,4.59,108.59,1.04,20.85714286,No
2/07/2021,01:30:00,21,72,3.64,89.36,1.03,20.57142857,No
2/07/2021,02:00:00,21,72,3.36,83.76,1.03,20.57142857,No
2/07/2021,02:30:00,21,72,4.68,110.16,1.03,20.57142857,No
2/07/2021,03:00:00,20,73,4.65,105.629,1.04,20.85714286,No
2/07/2021,03:30:00,20,73,4.2,96.629,1.04,20.85714286,No
2/07/2021,04:00:00,20,73,3.77,88.029,1.04,20.85714286,No
2/07/2021,04:30:00,20,73,3.84,89.429,1.04,20.85714286,No
2/07/2021,05:00:00,20,74,3.84,89.602,1.06,21.14285714,No
2/07/2021,05:30:00,20,74,4.29,98.602,1.06,21.14285714,No
2/07/2021,06:00:00,20,74,3.48,82.402,1.06,21.14285714,No
2/07/2021,06:30:00,20,74,5.27,118.202,1.06,21.14285714,No
2/07/2021,07:00:00,20,74,5.1,114.802,1.06,21.14285714,No
2/07/2021,07:30:00,20,74,4.96,112.002,1.06,21.14285714,No
2/07/2021,08:00:00,20,74,4,92.802,1.06,21.14285714,No
2/07/2021,08:30:00,20,74,6.48,142.402,1.06,21.14285714,No
2/07/2021,09:00:00,20,74,3.77,88.202,1.06,21.14285714,No
2/07/2021,09:30:00,20,74,3.64,85.602,1.06,21.14285714,No
2/07/2021,10:00:00,20,74,3.12,75.202,1.06,21.14285714,No
2/07/2021,10:30:00,20,74,5.94,131.602,1.06,21.14285714,No
2/07/2021,11:00:00,20,74,4.9,110.802,1.06,21.14285714,No
2/07/2021,11:30:00,20,74,3.91,91.002,1.06,21.14285714,No
2/07/2021,12:00:00,20,74,3.84,89.602,1.06,21.14285714,No
2/07/2021,12:30:00,20,75,3.6,84.975,1.07,21.42857143,No
2/07/2021,13:00:00,20,75,3.84,89.775,1.07,21.42857143,No
2/07/2021,13:30:00,20,75,4.76,108.175,1.07,21.42857143,No
2/07/2021,14:00:00,20,75,4.2,96.975,1.07,21.42857143,No
2/07/2021,14:30:00,20,75,3.6,84.975,1.07,21.42857143,No
2/07/2021,15:00:00,20,75,4.2,96.975,1.07,21.42857143,No
2/07/2021,15:30:00,20,75,3.9,90.975,1.07,21.42857143,No
2/07/2021,16:00:00,20,75,5.44,121.775,1.07,21.42857143,No
2/07/2021,16:30:00,20,75,4.76,108.175,1.07,21.42857143,No
2/07/2021,17:00:00,20,75,4.48,102.575,1.07,21.42857143,No
2/07/2021,17:30:00,20,75,4.68,106.575,1.07,21.42857143,No
2/07/2021,18:00:00,20,75,3.12,75.375,1.07,21.42857143,No
2/07/2021,18:30:00,21,76,4.32,103.88,1.09,21.71428571,No
2/07/2021,19:00:00,21,76,3,77.48,1.09,21.71428571,No
2/07/2021,19:30:00,21,76,3.36,84.68,1.09,21.71428571,No
2/07/2021,20:00:00,21,76,3.12,79.88,1.09,21.71428571,No
2/07/2021,20:30:00,21,76,3.52,87.88,1.09,21.71428571,No
2/07/2021,21:00:00,21,76,3.75,92.48,1.09,21.71428571,No
2/07/2021,21:30:00,21,76,3.84,94.28,1.09,21.71428571,No
2/07/2021,22:00:00,21,76,3.91,95.68,1.09,21.71428571,No
2/07/2021,22:30:00,21,76,4.32,103.88,1.09,21.71428571,No
2/07/2021,23:00:00,21,76,4,97.48,1.09,21.71428571,No
2/07/2021,23:30:00,21,76,3.5,87.48,1.09,21.71428571,No
3/07/2021,00:00:00,21,76,2.52,67.88,1.09,21.71428571,No
3/07/2021,00:30:00,21,76,2.88,75.08,1.09,21.71428571,No
3/07/2021,01:00:00,21,76,3.52,87.88,1.09,21.71428571,No
3/07/2021,01:30:00,21,76,3.74,92.28,1.09,21.71428571,No
3/07/2021,02:00:00,21,76,3.52,87.88,1.09,21.71428571,No
3/07/2021,02:30:00,21,76,3.22,81.88,1.09,21.71428571,No
3/07/2021,03:00:00,21,76,3.96,96.68,1.09,21.71428571,No
3/07/2021,03:30:00,21,76,4.5,107.48,1.09,21.71428571,No
3/07/2021,04:00:00,21,76,2.99,77.28,1.09,21.71428571,No
